Name,Day,Date,Raid,Type,Reason,Points,Alt or 2nd Main,Class,Guild Rank,Alt,DKP Rank,Attendance Calc,Level
Bazzka,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,33.20,#N/A
Beaming,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,6.00,#N/A
Beelo,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,16.00,#N/A
Bellaa,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,12.00,#N/A
Bewzer,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,9.00,#N/A
Bipp,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,85.82,#N/A
Bipson,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Fedsmokerr,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Wizard,Raider,,Main,46.47,70
Blitzen,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Blossom,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,13.50,#N/A
Displacer,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Bard,Raider,,Main,0.00,70
Boogabooga,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Shadow Knight,<<< Class Lead >>>,,Main,84.60,70
Booh,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,2.00,#N/A
Boomerbear,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Magician,Inactive,,zInactive,80.87,65
Booradley,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,16.92,#N/A
Borys,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Bowa,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,3.00,#N/A
Bramil,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Necromancer,Raider,,Main,61.80,70
Bueller,Sun,10/18/20,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Magician,<<< Officer >>>,,Main,31.00,60
Cabo,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,11.00,#N/A
Cadenza,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Bard,Alt,A,zAlt,1.00,60
Cazzbat,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Bard,Raider,,Main,43.15,70
Chapolin,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.67,#N/A
Chib,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,6.67,#N/A
Chidori,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Claritys,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Claud,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,13.00,#N/A
Clawdess,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Rogue,Raider,,Main,80.60,70
Clearwater,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,5.67,#N/A
Coltaine,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,47.47,#N/A
Conovar,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Cleric,Alt,A,zAlt,1.00,51
Crasis,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,10.00,#N/A
Cregor,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Cukkon,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,14.45,#N/A
Daangerzone,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,12.40,#N/A
Dael,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,24.00,#N/A
Daevid,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.67,#N/A
Daidraco,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,4.17,#N/A
Dalth,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Danthir,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Paladin,Alt,A,zAlt,0.00,60
Daralho,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,2.00,#N/A
Darknut,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,11.33,#N/A
Deadlyforce,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,5.33,#N/A
Decaco,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,2.00,#N/A
Deetz,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Denia,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Warrior,Inactive,,zInactive,54.93,65
Destrod,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Paladin,Inactive,,zInactive,58.00,65
Dexen,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.67,#N/A
Diggen,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.50,#N/A
Dorklord,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Wizard,Alt,A,zAlt,0.00,51
Drachenfel,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Drae,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Paladin,Raider,,Main,82.00,70
Draeus,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Monk,Alt,A,zAlt,1.00,47
Drakoh,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Dromi,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,17.67,#N/A
Ebony,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,20.67,#N/A
Elessar,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Elynore,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Druid,Raider,,Main,58.77,70
Emzy,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,6.67,#N/A
Eros,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Esharp,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,4.33,#N/A
Essay,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Warrior,Inactive,,zInactive,13.00,65
Evoin,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Exotic,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.67,#N/A
Fable,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,3.40,#N/A
Feid,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Fenbus,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Bard,Inactive,,zInactive,83.47,65
Fermial,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.33,#N/A
Fiss,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,15.00,#N/A
Flaps,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,17.00,#N/A
Flatline,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Necromancer,Raider,,Main,8.10,70
Fluffer,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,38.47,#N/A
Foamy,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Enchanter,Alt,A,zAlt,0.33,60
Foronine,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,10.20,#N/A
Fortano,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,6.00,#N/A
Franco,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.67,#N/A
Galdo,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,36.00,#N/A
Garos,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Gausbert,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Bard,Raider,,Main,81.47,70
Sinidan,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Rogue,Raider,,Main,79.28,70
Genexis,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,13.00,#N/A
Gloomweed,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Glooping,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Necromancer,<<< Officer >>>,,Main,84.93,70
Glyphik,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Enchanter,Inactive,,zInactive,15.67,65
Gnoro,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,46.28,#N/A
Gnosis,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Goat,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Druid,Alt,A,zAlt,10.33,65
Gordost,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Grizzle,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Gutyuz,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,5.00,#N/A
Guzz,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Shadow Knight,Raider,,Main,46.85,70
Haldemir,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,4.00,#N/A
Hamon,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,15.00,#N/A
Haye,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,3.67,#N/A
Healop,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,13.00,#N/A
Helbinor,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Necromancer,Raider,,Main,47.80,70
Holymary,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Icarius,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,5.00,#N/A
Impulse,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,36.53,#N/A
Iovelost,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,19.92,#N/A
Ivegotaggro,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,2.00,#N/A
Joule,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,42.27,#N/A
Kaelain,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,23.50,#N/A
Kassie,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Kastore,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,7.33,#N/A
Kejek,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,11.37,#N/A
Kelcei,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,7.00,#N/A
Kelldrie,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,2.00,#N/A
Kerafyrn,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Magician,Alt,A,zAlt,2.50,51
Khain,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,18.00,#N/A
Nastynate,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Shadow Knight,Raider,,Main,33.00,70
Kildidar,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,20.33,#N/A
Kirynn,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Enchanter,Raider,,Main,43.60,70
Klavs,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.33,#N/A
Krotax,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,34.45,#N/A
Kupcake,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Kvauthe,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.33,#N/A
Ledra,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,8.67,#N/A
Lhoris,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Lifemage,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,8.60,#N/A
Lilachubb,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,20.00,#N/A
Littlewinky,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
LootFail,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Louise,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Ranger,Alt,A,zAlt,0.00,51
Lunadaria,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,2.00,#N/A
Maehix,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,18.00,#N/A
Malkoran,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Magician,Alt,A,zAlt,6.00,60
Mangle,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,5.90,#N/A
Mardigras,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,1.00,#N/A
Martello,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Maru,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,13.33,#N/A
Mayfair,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Druid,Raider,,Main,44.80,70
Mehealyou,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,12.67,#N/A
Miniscouser,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,3.00,#N/A
Mintel,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Missio,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,#N/A,#N/A,#N/A,#N/A,0.00,#N/A
Mitivo,Sun,05/30/21,09/14/21 DKP Rebase/Archive for GoD,Earned,DKP Rebase/Archive for GoD,0,,Magician,Inactive,,zInactive,8.30,65
